NUM,Sci_WellID,ObjectLabelsFound,Sci_SampleID,Timepoint,Time,Censored,Event,MeasurementTag,0,15,29,39,53,63,87,111,161
1,A1,1,EV,1,0,FALSE,TRUE,GFP,172.6040698,188.1266294,NA,NA,NA,NA,NA,NA,NA
2,A1,1,EV,1,0,FALSE,TRUE,RFP,6.605232558,10.61685289,NA,NA,NA,NA,NA,NA,NA
15,A1,2,EV,1,0,FALSE,TRUE,GFP,515.7635884,575.4862053,490.4416168,515.0659665,527.3630245,575.4742964,NA,NA,NA
16,A1,2,EV,1,0,FALSE,TRUE,RFP,7.176781003,11.77702397,13.125,16.27765015,26.2787015,30.06979362,NA,NA,NA
19,A1,4,EV,1,0,FALSE,TRUE,GFP,143.6134663,NA,NA,NA,NA,NA,NA,NA,NA
20,A1,4,EV,1,0,FALSE,TRUE,RFP,5.965087282,NA,NA,NA,NA,NA,NA,NA,NA
23,A1,6,EV,1,0,FALSE,TRUE,GFP,99.28031809,NA,NA,NA,NA,NA,NA,NA,NA
24,A1,6,EV,1,0,FALSE,TRUE,RFP,6.546719682,NA,NA,NA,NA,NA,NA,NA,NA
29,A1,9,EV,1,0,FALSE,TRUE,GFP,240.0932091,NA,NA,NA,NA,NA,NA,NA,NA
30,A1,9,EV,1,0,FALSE,TRUE,RFP,6.798268975,NA,NA,NA,NA,NA,NA,NA,NA
13,A1,15,EV,1,0,FALSE,TRUE,GFP,315.2338073,334.9513014,321.3798646,NA,NA,NA,NA,NA,NA
14,A1,15,EV,1,0,FALSE,TRUE,RFP,6.609794629,11.17716205,11.29103215,NA,NA,NA,NA,NA,NA
39,A10,13,mito_DrpK38A,1,0,FALSE,TRUE,GFP,140.5742003,147.4693681,156.1232092,NA,NA,NA,NA,NA,NA
40,A10,13,mito_DrpK38A,1,0,FALSE,TRUE,RFP,33.94362874,26.18837434,63.87965616,NA,NA,NA,NA,NA,NA
73,A11,12,mito_Nrf,1,0,FALSE,TRUE,GFP,133.4277716,NA,NA,NA,NA,NA,NA,NA,NA
74,A11,12,mito_Nrf,1,0,FALSE,TRUE,RFP,20.72676372,NA,NA,NA,NA,NA,NA,NA,NA
81,A11,16,mito_Nrf,1,0,FALSE,TRUE,GFP,177.7034765,NA,NA,NA,NA,NA,NA,NA,NA
82,A11,16,mito_Nrf,1,0,FALSE,TRUE,RFP,31.75869121,NA,NA,NA,NA,NA,NA,NA,NA
113,A12,1,mito_Nrf,1,0,FALSE,TRUE,GFP,156.4102564,NA,NA,NA,NA,NA,NA,NA,NA
114,A12,1,mito_Nrf,1,0,FALSE,TRUE,RFP,7.047233468,NA,NA,NA,NA,NA,NA,NA,NA
131,A12,7,mito_Nrf,1,0,FALSE,TRUE,GFP,1716.837116,1203.707436,1403.465234,1353.466366,1372.82284,1404.902839,1367.393026,1340.051717,1444.773016
132,A12,7,mito_Nrf,1,0,FALSE,TRUE,RFP,523.9091335,1938.167825,2226.163928,2127.482363,2190.79505,2205.326531,2116.003874,2011.929161,2212.078836
181,A2,5,EV_Drp,1,0,FALSE,TRUE,GFP,565.9694889,848.4218119,318.1499503,385.528436,NA,NA,NA,NA,NA
182,A2,5,EV_Drp,1,0,FALSE,TRUE,RFP,4.619755912,6.657241777,6.302879841,5.96563981,NA,NA,NA,NA,NA
